prd_cd,frm_cd
PRD_000118,PRF_POSTER_FIXED
PRD_000119,PRF_POSTER_FIXED
PRD_000120,PRF_POSTER_FIXED
PRD_000121,PRF_POSTER_FIXED
PRD_000122,PRF_POSTER_FIXED
PRD_000123,PRF_POSTER_FIXED
PRD_000124,PRF_POSTER_FIXED
PRD_000125,PRF_POSTER_FIXED
PRD_000126,PRF_POSTER_FIXED
PRD_000127,PRF_POSTER_FIXED
PRD_000128,PRF_POSTER_FIXED
PRD_000129,PRF_POSTER_FIXED
PRD_000130,PRF_POSTER_FIXED
PRD_000131,PRF_POSTER_FIXED
PRD_000132,PRF_POSTER_FIXED
PRD_000133,PRF_POSTER_FIXED
PRD_000134,PRF_POSTER_FIXED
PRD_000135,PRF_POSTER_FIXED
PRD_000136,PRF_POSTER_FIXED
PRD_000137,PRF_POSTER_FIXED
PRD_000138,PRF_POSTER_FIXED
PRD_000139,PRF_POSTER_FIXED
PRD_000140,PRF_POSTER_FIXED
PRD_000141,PRF_POSTER_FIXED
PRD_000142,PRF_POSTER_FIXED
PRD_000143,PRF_POSTER_FIXED
PRD_000144,PRF_POSTER_FIXED
PRD_000145,PRF_POSTER_FIXED
