prd_cd,prd_nm,siz_cd,work_size,press_sheet,output_paper_typ_cd,prd_typ,repro,is_jeonji_siz
PRD_000124,린넨패브릭포스터,SIZ_000299,594x420,,,PRD_TYPE.04,Y,N
PRD_000124,린넨패브릭포스터,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000124,린넨패브릭포스터,SIZ_000302,841x594,,,PRD_TYPE.04,Y,N
PRD_000125,캔버스패브릭포스터,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000125,캔버스패브릭포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000125,캔버스패브릭포스터,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000126,레더아트프린트,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000126,레더아트프린트,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000126,레더아트프린트,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000127,타이벡프린트,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000127,타이벡프린트,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000127,타이벡프린트,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000128,메쉬프린트,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000128,메쉬프린트,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000128,메쉬프린트,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000129,폼보드,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000129,폼보드,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000130,포맥스보드,SIZ_000175,303x426,316x467,,PRD_TYPE.04,N,N
PRD_000130,포맥스보드,SIZ_000303,426x600,,,PRD_TYPE.04,N,N
PRD_000131,프레임리스우드액자,SIZ_000175,303x426,316x467,,PRD_TYPE.04,N,N
PRD_000131,프레임리스우드액자,SIZ_000303,426x600,,,PRD_TYPE.04,N,N
PRD_000132,레더아트액자,SIZ_000307,207x258,,,PRD_TYPE.04,N,N
PRD_000132,레더아트액자,SIZ_000305,207x207,,,PRD_TYPE.04,N,N
PRD_000132,레더아트액자,SIZ_000309,283x283,,,PRD_TYPE.04,N,N
PRD_000132,레더아트액자,SIZ_000311,283x334,,,PRD_TYPE.04,N,N
PRD_000132,레더아트액자,SIZ_000312,290x377,,,PRD_TYPE.04,N,N
PRD_000132,레더아트액자,SIZ_000313,377x500,,,PRD_TYPE.04,N,N
PRD_000133,캔버스 행잉포스터,SIZ_000050,210x297,316x467,,PRD_TYPE.04,N,N
PRD_000133,캔버스 행잉포스터,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000133,캔버스 행잉포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000134,린넨 우드봉 족자,SIZ_000314,210x347,,,PRD_TYPE.04,N,N
PRD_000134,린넨 우드봉 족자,SIZ_000316,297x470,,,PRD_TYPE.04,N,N
PRD_000134,린넨 우드봉 족자,SIZ_000318,420x644,,,PRD_TYPE.04,N,N
PRD_000135,족자포스터,SIZ_000319,300x600,,,PRD_TYPE.04,Y,N
PRD_000135,족자포스터,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000135,족자포스터,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000135,족자포스터,SIZ_000294,594x841,,,PRD_TYPE.04,Y,N
PRD_000135,족자포스터,SIZ_000320,900x1200,,,PRD_TYPE.04,Y,N
PRD_000136,PET배너,SIZ_000321,600x1800,,,PRD_TYPE.04,Y,N
PRD_000137,메쉬배너,SIZ_000321,600x1800,,,PRD_TYPE.04,Y,N
PRD_000138,일반현수막,SIZ_000322,5000x900,,,PRD_TYPE.04,Y,N
PRD_000139,메쉬현수막,SIZ_000323,900x900,,,PRD_TYPE.04,Y,N
PRD_000139,메쉬현수막,SIZ_000320,900x1200,,,PRD_TYPE.04,Y,N
PRD_000139,메쉬현수막,SIZ_000322,5000x900,,,PRD_TYPE.04,Y,N
PRD_000140,무광시트커팅,SIZ_000050,210x297,316x467,,PRD_TYPE.04,N,N
PRD_000140,무광시트커팅,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000140,무광시트커팅,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000141,홀로그램 시트커팅,SIZ_000050,210x297,316x467,,PRD_TYPE.04,N,N
PRD_000141,홀로그램 시트커팅,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000141,홀로그램 시트커팅,SIZ_000198,420x594,,,PRD_TYPE.04,Y,N
PRD_000142,유광아크릴스티커,SIZ_000325,290x190,,,PRD_TYPE.04,Y,N
PRD_000142,유광아크릴스티커,SIZ_000324,290x90,,,PRD_TYPE.04,Y,N
PRD_000142,유광아크릴스티커,SIZ_000326,390x290,,,PRD_TYPE.04,Y,N
PRD_000142,유광아크릴스티커,SIZ_000327,590x390,,,PRD_TYPE.04,Y,N
PRD_000143,미러아크릴스티커,SIZ_000324,290x90,,,PRD_TYPE.04,Y,N
PRD_000143,미러아크릴스티커,SIZ_000325,290x190,,,PRD_TYPE.04,Y,N
PRD_000143,미러아크릴스티커,SIZ_000326,390x290,,,PRD_TYPE.04,Y,N
PRD_000143,미러아크릴스티커,SIZ_000327,590x390,,,PRD_TYPE.04,Y,N
PRD_000144,미니보드스탠딩,SIZ_000007,148x210,316x467,,PRD_TYPE.04,N,N
PRD_000144,미니보드스탠딩,SIZ_000050,210x297,316x467,,PRD_TYPE.04,N,N
PRD_000144,미니보드스탠딩,SIZ_000052,297x420,316x467,,PRD_TYPE.04,N,N
PRD_000145,미니배너,SIZ_000028,150x300,316x467,,PRD_TYPE.04,Y,N
PRD_000145,미니배너,SIZ_000328,180x420,,,PRD_TYPE.04,Y,N
PRD_000146,아크릴키링,SIZ_000329,20x30,,,PRD_TYPE.04,Y,N
PRD_000146,아크릴키링,SIZ_000332,30x70,,,PRD_TYPE.04,Y,N
PRD_000146,아크릴키링,SIZ_000330,30x30,,,PRD_TYPE.04,Y,N
PRD_000146,아크릴키링,SIZ_000331,30x40,,,PRD_TYPE.04,Y,N
PRD_000146,아크릴키링,SIZ_000335,40x60,,,PRD_TYPE.04,Y,N
PRD_000146,아크릴키링,SIZ_000333,40x40,,,PRD_TYPE.04,Y,N
PRD_000146,아크릴키링,SIZ_000334,40x50,,,PRD_TYPE.04,Y,N
PRD_000146,아크릴키링,SIZ_000011,50x50,316x467,,PRD_TYPE.04,Y,N
PRD_000147,아크릴마그넷,SIZ_000337,24x24,,,PRD_TYPE.04,N,N
PRD_000147,아크릴마그넷,SIZ_000338,34x34,,,PRD_TYPE.04,N,N
PRD_000147,아크릴마그넷,SIZ_000339,34x44,,,PRD_TYPE.04,N,N
PRD_000147,아크릴마그넷,SIZ_000341,44x54,,,PRD_TYPE.04,N,N
PRD_000147,아크릴마그넷,SIZ_000340,44x44,,,PRD_TYPE.04,N,N
PRD_000147,아크릴마그넷,SIZ_000342,54x54,,,PRD_TYPE.04,N,N
PRD_000147,아크릴마그넷,SIZ_000343,64x64,,,PRD_TYPE.04,N,N
PRD_000148,아크릴뱃지,SIZ_000338,34x34,,,PRD_TYPE.04,N,N
PRD_000148,아크릴뱃지,SIZ_000340,44x44,,,PRD_TYPE.04,N,N
PRD_000148,아크릴뱃지,SIZ_000342,54x54,,,PRD_TYPE.04,N,N
PRD_000149,아크릴집게,SIZ_000338,34x34,,,PRD_TYPE.04,N,N
PRD_000149,아크릴집게,SIZ_000340,44x44,,,PRD_TYPE.04,N,N
PRD_000149,아크릴집게,SIZ_000342,54x54,,,PRD_TYPE.04,N,N
PRD_000150,아크릴스마트톡,SIZ_000342,54x54,,,PRD_TYPE.04,N,N
PRD_000150,아크릴스마트톡,SIZ_000343,64x64,,,PRD_TYPE.04,N,N
PRD_000150,아크릴스마트톡,SIZ_000345,74x64,,,PRD_TYPE.04,N,N
PRD_000151,맥세이프 스마트톡,SIZ_000342,54x54,,,PRD_TYPE.04,N,N
PRD_000151,맥세이프 스마트톡,SIZ_000343,64x64,,,PRD_TYPE.04,N,N
PRD_000151,맥세이프 스마트톡,SIZ_000345,74x64,,,PRD_TYPE.04,N,N
PRD_000152,아크릴명찰,SIZ_000347,64x24,,,PRD_TYPE.04,N,N
PRD_000152,아크릴명찰,SIZ_000349,74x29,,,PRD_TYPE.04,N,N
PRD_000152,아크릴명찰,SIZ_000351,84x34,,,PRD_TYPE.04,N,N
PRD_000153,아크릴명찰(골드실버),SIZ_000347,64x24,,,PRD_TYPE.04,N,N
PRD_000153,아크릴명찰(골드실버),SIZ_000349,74x29,,,PRD_TYPE.04,N,N
PRD_000153,아크릴명찰(골드실버),SIZ_000351,84x34,,,PRD_TYPE.04,N,N
PRD_000154,아크릴 머리끈,SIZ_000337,24x24,,,PRD_TYPE.04,N,N
PRD_000154,아크릴 머리끈,SIZ_000338,34x34,,,PRD_TYPE.04,N,N
PRD_000154,아크릴 머리끈,SIZ_000340,44x44,,,PRD_TYPE.04,N,N
PRD_000155,아크릴볼펜,SIZ_000337,24x24,,,PRD_TYPE.04,N,N
PRD_000155,아크릴볼펜,SIZ_000338,34x34,,,PRD_TYPE.04,N,N
PRD_000155,아크릴볼펜,SIZ_000340,44x44,,,PRD_TYPE.04,N,N
PRD_000157,아크릴네임택,SIZ_000012,55x86,316x467,,PRD_TYPE.04,Y,N
PRD_000157,아크릴네임택,SIZ_000148,60x60,316x467,,PRD_TYPE.04,Y,N
PRD_000158,아크릴 포카키링,SIZ_000012,55x86,316x467,,PRD_TYPE.04,Y,N
PRD_000159,아크릴 코스터,SIZ_000157,104x104,316x467,,PRD_TYPE.04,N,N
PRD_000160,아크릴자유형스탠드,SIZ_000361,120x180,,,PRD_TYPE.04,Y,N
PRD_000160,아크릴자유형스탠드,SIZ_000357,120x60,,,PRD_TYPE.04,Y,N
PRD_000160,아크릴자유형스탠드,SIZ_000358,120x90,,,PRD_TYPE.04,Y,N
PRD_000160,아크릴자유형스탠드,SIZ_000359,120x120,,,PRD_TYPE.04,Y,N
PRD_000160,아크릴자유형스탠드,SIZ_000360,120x150,,,PRD_TYPE.04,Y,N
PRD_000161,판아크릴,SIZ_000363,124x184,,,PRD_TYPE.04,N,N
PRD_000161,판아크릴,SIZ_000362,124x124,,,PRD_TYPE.04,N,N
PRD_000163,아크릴미니파츠,SIZ_000365,120x50,,,PRD_TYPE.04,Y,N
PRD_000172,만년다이어리(소프트커버),SIZ_000251,300x214,,,PRD_TYPE.03,N,N
PRD_000173,만년다이어리(하드커버),SIZ_000181,426x303,316x467,,PRD_TYPE.03,N,N
PRD_000176,먼슬리플래너,SIZ_000376,150x216,,,PRD_TYPE.03,N,N
PRD_000176,먼슬리플래너,SIZ_000180,302x216,,,PRD_TYPE.03,N,N
PRD_000177,스프링노트,SIZ_000171,152x214,316x467,,PRD_TYPE.03,N,N
PRD_000178,스프링수첩,SIZ_000378,94x149,,,PRD_TYPE.03,N,N
PRD_000179,메모패드,SIZ_000007,148x210,316x467,,PRD_TYPE.03,N,N
PRD_000179,메모패드,SIZ_000381,186x261,,,PRD_TYPE.03,N,N
PRD_000181,중철노트,SIZ_000382,216x154,,,PRD_TYPE.03,N,N
PRD_000183,틴거울,SIZ_000017,100x90,316x467,,PRD_TYPE.03,N,N
PRD_000184,컴팩트거울,SIZ_000017,100x90,316x467,,PRD_TYPE.03,N,N
PRD_000185,카드거울,SIZ_000383,57x91,,,PRD_TYPE.03,N,N
PRD_000186,사각손거울,SIZ_000385,85x140,,,PRD_TYPE.03,N,N
PRD_000186,사각손거울,SIZ_000387,105x176,,,PRD_TYPE.03,N,N
PRD_000186,사각손거울,SIZ_000389,130x228,,,PRD_TYPE.03,N,N
PRD_000187,블랙사각손거울,SIZ_000385,85x140,,,PRD_TYPE.03,N,N
PRD_000187,블랙사각손거울,SIZ_000387,105x176,,,PRD_TYPE.03,N,N
PRD_000187,블랙사각손거울,SIZ_000389,130x228,,,PRD_TYPE.03,N,N
PRD_000188,레더코스터,SIZ_000113,100x100,316x467,,PRD_TYPE.03,N,N
PRD_000189,코르크코스터,SIZ_000113,100x100,316x467,,PRD_TYPE.03,N,N
PRD_000190,우드코스터,SIZ_000113,100x100,316x467,,PRD_TYPE.03,N,N
PRD_000191,린넨패브릭코스터,SIZ_000004,135x135,316x467,,PRD_TYPE.03,N,N
PRD_000192,규조토코스터,SIZ_000391,110x110,,,PRD_TYPE.03,N,N
PRD_000192,규조토코스터,SIZ_000390,112x112,,,PRD_TYPE.03,N,N
PRD_000193,머그컵,SIZ_000392,190x80,,,PRD_TYPE.03,N,N
PRD_000194,워터북보틀,SIZ_000393,94x193,,,PRD_TYPE.03,N,N
PRD_000194,워터북보틀,SIZ_000394,110x185,,,PRD_TYPE.03,N,N
PRD_000195,벨벳쿠션,SIZ_000395,290x290,,,PRD_TYPE.03,N,N
PRD_000196,레더여권케이스,SIZ_000257,210x150,,,PRD_TYPE.03,N,N
PRD_000197,미니매트,SIZ_000398,280x200,,,PRD_TYPE.03,N,N
PRD_000197,미니매트,SIZ_000397,450x450,,,PRD_TYPE.03,Y,N
PRD_000198,피크닉매트,SIZ_000401,320x860,,,PRD_TYPE.03,N,N
PRD_000198,피크닉매트,SIZ_000400,1000x700,,,PRD_TYPE.03,Y,N
PRD_000198,피크닉매트,SIZ_000403,1500x1000,,,PRD_TYPE.03,N,N
PRD_000200,핀버튼,SIZ_000043,80x80,316x467,,PRD_TYPE.03,N,N
PRD_000201,레더스트랩키링,SIZ_000405,30x215,,,PRD_TYPE.03,N,N
PRD_000201,레더스트랩키링,SIZ_000404,30x124,,,PRD_TYPE.03,N,N
PRD_000205,양말,SIZ_000407,65x100,,,PRD_TYPE.03,N,N
PRD_000206,반팔티셔츠,SIZ_000408,205x292,,,PRD_TYPE.03,N,N
PRD_000209,후드티셔츠,SIZ_000408,205x292,,,PRD_TYPE.03,N,N
PRD_000210,초슬림마우스패드,SIZ_000409,240x182,,,PRD_TYPE.03,N,N
PRD_000211,장패드,SIZ_000410,715x315,,,PRD_TYPE.03,N,N
PRD_000212,극세사클리너,SIZ_000411,160x153,,,PRD_TYPE.03,N,N
PRD_000213,틴케이스,SIZ_000412,81x105,,,PRD_TYPE.03,N,N
PRD_000214,자석북마크,SIZ_000017,100x90,316x467,,PRD_TYPE.03,N,N
PRD_000215,클립보드,SIZ_000414,416x274,,,PRD_TYPE.03,N,N
PRD_000215,클립보드,SIZ_000416,528x364,,,PRD_TYPE.03,N,N
PRD_000216,투명클립보드,SIZ_000417,160x230,,,PRD_TYPE.03,N,N
PRD_000216,투명클립보드,SIZ_000418,230x330,,,PRD_TYPE.03,N,N
PRD_000219,밴드톡,SIZ_000427,45x102,,,PRD_TYPE.03,N,N
PRD_000220,폰스트랩,SIZ_000428,17x320,,,PRD_TYPE.03,N,N
PRD_000221,말랑키링,SIZ_000429,56x166,,,PRD_TYPE.03,N,N
PRD_000223,말랑포카홀더,SIZ_000430,82x128,,,PRD_TYPE.03,N,N
PRD_000224,말랑네임택,SIZ_000431,74x119,,,PRD_TYPE.03,N,N
PRD_000225,말랑여권케이스,SIZ_000432,196x140,,,PRD_TYPE.03,N,N
PRD_000230,레더 플랫 파우치,SIZ_000433,220x300,,,PRD_TYPE.03,N,N
PRD_000230,레더 플랫 파우치,SIZ_000434,260x340,,,PRD_TYPE.03,N,N
PRD_000231,레더 슬림 파우치,SIZ_000435,220x294,,,PRD_TYPE.03,N,N
PRD_000231,레더 슬림 파우치,SIZ_000436,260x374,,,PRD_TYPE.03,N,N
PRD_000232,레더 삼각 파우치,SIZ_000437,440x160,,,PRD_TYPE.03,N,N
PRD_000232,레더 삼각 파우치,SIZ_000438,520x200,,,PRD_TYPE.03,N,N
PRD_000233,레더 볼륨 파우치,SIZ_000439,240x334,,,PRD_TYPE.03,N,N
PRD_000233,레더 볼륨 파우치,SIZ_000440,290x334,,,PRD_TYPE.03,N,N
PRD_000234,레더 스트링 파우치,SIZ_000433,220x300,,,PRD_TYPE.03,N,N
PRD_000235,레더 스트링 원형파우치,SIZ_000441,323x210,,,PRD_TYPE.03,N,N
PRD_000236,레더 플랫 클러치,SIZ_000442,640x230,,,PRD_TYPE.03,N,N
PRD_000237,레더 삼각 클러치,SIZ_000443,640x250,,,PRD_TYPE.03,N,N
PRD_000238,레더 아이패드/노트북 파우치,SIZ_000445,368x544,,,PRD_TYPE.03,N,N
PRD_000238,레더 아이패드/노트북 파우치,SIZ_000446,412x594,,,PRD_TYPE.03,N,N
PRD_000238,레더 아이패드/노트북 파우치,SIZ_000444,444x287,,,PRD_TYPE.03,N,N
PRD_000239,캔버스 플랫 파우치,SIZ_000433,220x300,,,PRD_TYPE.03,N,N
PRD_000239,캔버스 플랫 파우치,SIZ_000434,260x340,,,PRD_TYPE.03,N,N
PRD_000240,캔버스 삼각 파우치,SIZ_000433,220x300,,,PRD_TYPE.03,N,N
PRD_000240,캔버스 삼각 파우치,SIZ_000447,260x380,,,PRD_TYPE.03,N,N
PRD_000241,캔버스 스트랩 라벨파우치,SIZ_000448,70x100,,,PRD_TYPE.03,Y,N
PRD_000242,광목 스트링 라벨파우치,SIZ_000449,100x40,,,PRD_TYPE.03,Y,N
PRD_000242,광목 스트링 라벨파우치,SIZ_000246,100x70,,,PRD_TYPE.03,Y,N
PRD_000243,린넨 스트링 파우치,SIZ_000450,180x240,,,PRD_TYPE.03,N,N
PRD_000243,린넨 스트링 파우치,SIZ_000451,220x530,,,PRD_TYPE.03,N,N
PRD_000243,린넨 스트링 파우치,SIZ_000452,260x630,,,PRD_TYPE.03,N,N
PRD_000244,타이벡 플랫 파우치,SIZ_000453,444x155,,,PRD_TYPE.03,N,N
PRD_000244,타이벡 플랫 파우치,SIZ_000454,524x195,,,PRD_TYPE.03,N,N
PRD_000244,타이벡 플랫 파우치,SIZ_000455,744x285,,,PRD_TYPE.03,N,N
PRD_000245,타이벡 슬림 파우치,SIZ_000435,220x294,,,PRD_TYPE.03,N,N
PRD_000245,타이벡 슬림 파우치,SIZ_000436,260x374,,,PRD_TYPE.03,N,N
PRD_000246,타이벡 삼각 파우치,SIZ_000456,220x330,,,PRD_TYPE.03,N,N
PRD_000246,타이벡 삼각 파우치,SIZ_000457,260x390,,,PRD_TYPE.03,N,N
PRD_000247,타이벡 스트링 파우치,SIZ_000458,210x520,,,PRD_TYPE.03,N,N
PRD_000247,타이벡 스트링 파우치,SIZ_000459,250x620,,,PRD_TYPE.03,N,N
PRD_000247,타이벡 스트링 파우치,SIZ_000460,320x820,,,PRD_TYPE.03,N,N
PRD_000248,타이벡 플랫 클러치,SIZ_000442,640x230,,,PRD_TYPE.03,N,N
PRD_000249,메쉬슬림파우치,SIZ_000435,220x294,,,PRD_TYPE.03,N,N
PRD_000249,메쉬슬림파우치,SIZ_000436,260x374,,,PRD_TYPE.03,N,N
PRD_000250,메쉬볼륨파우치,SIZ_000461,380x454,,,PRD_TYPE.03,N,N
PRD_000251,레더 플랫 미니파우치,SIZ_000462,130x240,,,PRD_TYPE.03,N,N
PRD_000252,레더 슬림 미니파우치,SIZ_000463,130x194,,,PRD_TYPE.03,N,N
PRD_000252,레더 슬림 미니파우치,SIZ_000464,140x254,,,PRD_TYPE.03,N,N
PRD_000253,레더 삼각 미니파우치,SIZ_000465,120x220,,,PRD_TYPE.03,N,N
PRD_000254,레더 볼륨 미니파우치,SIZ_000466,165x187,,,PRD_TYPE.03,N,N
PRD_000254,레더 볼륨 미니파우치,SIZ_000467,200x187,,,PRD_TYPE.03,N,N
PRD_000255,레더 원형 미니파우치,SIZ_000468,220x110,,,PRD_TYPE.03,N,N
PRD_000256,레더 플랫 필통,SIZ_000469,220x190,,,PRD_TYPE.03,N,N
PRD_000257,레더 슬림 필통,SIZ_000470,220x194,,,PRD_TYPE.03,N,N
PRD_000258,레더 삼각 필통,SIZ_000471,220x210,,,PRD_TYPE.03,N,N
PRD_000259,레더 볼륨 필통,SIZ_000472,270x214,,,PRD_TYPE.03,N,N
PRD_000260,레더 원형 필통,SIZ_000473,220x234,,,PRD_TYPE.03,N,N
PRD_000261,캔버스 플랫 필통,SIZ_000469,220x190,,,PRD_TYPE.03,N,N
PRD_000262,캔버스 삼각 필통,SIZ_000474,240x210,,,PRD_TYPE.03,N,N
PRD_000263,레더토트백,SIZ_000475,330x640,,,PRD_TYPE.03,N,N
PRD_000264,레더숄더백,SIZ_000476,760x440,,,PRD_TYPE.03,N,N
PRD_000265,린넨 미니에코백,SIZ_000477,280x610,,,PRD_TYPE.03,N,N
PRD_000266,린넨 토트백,SIZ_000478,380x1010,,,PRD_TYPE.03,N,N
PRD_000267,린넨 에코백,SIZ_000479,390x910,,,PRD_TYPE.03,N,N
PRD_000267,린넨 에코백,SIZ_000480,430x830,,,PRD_TYPE.03,N,N
PRD_000268,캔버스심플백,SIZ_000481,340x800,,,PRD_TYPE.03,N,N
PRD_000269,캔버스 포켓심플백,SIZ_000482,260x300,,,PRD_TYPE.03,N,N
PRD_000270,캔버스에코백,SIZ_000483,530x900,,,PRD_TYPE.03,N,N
PRD_000271,캔버스숄더백,SIZ_000476,760x440,,,PRD_TYPE.03,N,N
PRD_000272,캔버스 포켓숄더백,SIZ_000484,320x300,,,PRD_TYPE.03,N,N
PRD_000273,타이벡 양면 백팩,SIZ_000401,320x860,,,PRD_TYPE.03,N,N
PRD_000273,타이벡 양면 백팩,SIZ_000485,400x1040,,,PRD_TYPE.03,N,N
PRD_000274,타이벡보냉보틀백,SIZ_000486,220x580,,,PRD_TYPE.03,N,N
PRD_000274,타이벡보냉보틀백,SIZ_000487,220x780,,,PRD_TYPE.03,N,N
PRD_000275,타이벡 보냉 미니백,SIZ_000488,360x580,,,PRD_TYPE.03,N,N
PRD_000276,타이벡 에코백,SIZ_000489,380x880,,,PRD_TYPE.03,N,N
PRD_000277,타이벡 보냉에코백,SIZ_000489,380x880,,,PRD_TYPE.03,N,N
PRD_000278,메쉬 토트백,SIZ_000490,380x690,,,PRD_TYPE.03,N,N
PRD_000279,메쉬 에코백,SIZ_000491,440x810,,,PRD_TYPE.03,N,N
PRD_000280,레더라벨제작,SIZ_000493,50x30,,,PRD_TYPE.03,N,N
PRD_000280,레더라벨제작,SIZ_000495,60x40,,,PRD_TYPE.03,N,N
PRD_000280,레더라벨제작,SIZ_000497,80x50,,,PRD_TYPE.03,N,N
