PRD_000001	OPP접착봉투	PRD_TYPE.03	Y	N	0	0	0	
PRD_000002	OPP비접착봉투	PRD_TYPE.03	Y	N	0	0	0	
PRD_000003	트래싱지 카드봉투	PRD_TYPE.03	Y	N	0	0	0	
PRD_000004	카드봉투	PRD_TYPE.03	Y	N	0	0	0	
PRD_000005	캘린더봉투	PRD_TYPE.03	Y	N	0	0	0	
PRD_000006	볼체인	PRD_TYPE.03	Y	N	0	0	0	
PRD_000007	와이어링	PRD_TYPE.03	Y	N	0	0	0	
PRD_000008	천정고리	PRD_TYPE.03	N	N	0	0	0	
PRD_000009	투명케이스	PRD_TYPE.03	Y	N	0	0	0	
PRD_000010	행택끈	PRD_TYPE.03	Y	N	0	0	0	
PRD_000011	자석고정용고무판	PRD_TYPE.03	Y	N	0	0	0	
PRD_000012	우드거치대	PRD_TYPE.03	Y	N	0	0	0	
PRD_000013	우드봉	PRD_TYPE.03	Y	N	0	0	0	
PRD_000014	우드행거	PRD_TYPE.03	Y	N	0	0	0	
PRD_000015	만년스탬프 리필잉크	PRD_TYPE.03	Y	N	0	0	0	
PRD_000016	프리미엄엽서	PRD_TYPE.01	Y	N	41	1	1	
PRD_000017	코팅엽서	PRD_TYPE.04	Y	N	8	1	1	
PRD_000018	스탠다드엽서	PRD_TYPE.01	Y	N	15	1	1	
PRD_000019	투명엽서	PRD_TYPE.04	Y	N	0	0	0	
PRD_000020	화이트인쇄엽서	PRD_TYPE.04	Y	N	0	1	1	
PRD_000021	핑크별색엽서	PRD_TYPE.04	N	N	0	1	1	
PRD_000022	금은별색엽서	PRD_TYPE.04	N	N	0	1	1	
PRD_000023	모양엽서	PRD_TYPE.04	N	N	0	1	1	
PRD_000024	포토카드	PRD_TYPE.04	Y	N	7	1	1	
PRD_000025	투명포토카드	PRD_TYPE.04	Y	N	4	1	1	
PRD_000026	종이슬로건	PRD_TYPE.04	Y	N	5	1	1	
PRD_000027	2단접지카드	PRD_TYPE.04	Y	N	25	1	1	
PRD_000028	미니접지카드	PRD_TYPE.04	N	N	0	1	1	
PRD_000029	3단접지카드	PRD_TYPE.04	Y	N	25	1	1	
PRD_000030	지그재그엽서	PRD_TYPE.04	Y	N	0	0	0	
PRD_000031	프리미엄명함	PRD_TYPE.01	Y	N	30	1	1	
PRD_000032	코팅명함	PRD_TYPE.04	Y	N	8	1	1	
PRD_000033	스탠다드명함	PRD_TYPE.01	Y	N	11	1	1	
PRD_000034	펄명함	PRD_TYPE.04	Y	N	0	0	0	
PRD_000035	모양명함	PRD_TYPE.04	Y	N	0	0	0	
PRD_000036	미니모양명함	PRD_TYPE.04	Y	N	0	0	0	
PRD_000037	오리지널박명함	PRD_TYPE.04	Y	N	0	0	0	
PRD_000038	형압명함	PRD_TYPE.04	N	N	0	0	0	
PRD_000039	투명명함	PRD_TYPE.04	Y	N	0	0	0	
PRD_000040	화이트인쇄명함	PRD_TYPE.04	Y	N	0	0	0	
PRD_000041	스탠다드 쿠폰/상품권	PRD_TYPE.01	Y	N	10	1	1	
PRD_000042	프리미엄 쿠폰/상품권	PRD_TYPE.01	Y	N	22	1	1	
PRD_000043	인쇄배경지(OPP봉투타입)	PRD_TYPE.04	Y	N	0	1	1	
PRD_000044	인쇄배경지(투명케이스타입)	PRD_TYPE.04	Y	N	0	1	1	
PRD_000045	인쇄헤더택	PRD_TYPE.04	Y	N	0	1	1	
PRD_000046	라벨/택	PRD_TYPE.04	Y	N	0	1	1	
PRD_000047	소량전단지	PRD_TYPE.04	Y	N	53	1	1	
PRD_000048	접지리플렛	PRD_TYPE.04	Y	N	0	1	1	
PRD_000049	와이드 접지리플렛	PRD_TYPE.04	Y	N	0	0	0	
PRD_000050	봉투제작	PRD_TYPE.04	Y	N	0	1	1	
PRD_000051	썬캡	PRD_TYPE.04	N	N	0	1	1	
PRD_000052	반칼 자유형 스티커	PRD_TYPE.04	Y	N	7	1	1	
PRD_000053	반칼 자유형 투명스티커	PRD_TYPE.04	Y	N	4	1	1	
PRD_000054	반칼 자유형 홀로그램스티커	PRD_TYPE.04	Y	N	0	1	1	
PRD_000055	낱장 자유형 스티커	PRD_TYPE.04	Y	N	3	1	1	
PRD_000056	낱장 자유형 투명스티커	PRD_TYPE.04	Y	N	0	1	1	
PRD_000057	대형 자유형 스티커	PRD_TYPE.04	Y	N	0	1	1	
PRD_000058	반칼원형스티커	PRD_TYPE.04	Y	N	0	1	1	
PRD_000059	반칼정사각스티커	PRD_TYPE.04	Y	N	0	1	1	
PRD_000060	반칼직사각스티커	PRD_TYPE.04	Y	N	0	1	1	
PRD_000061	반칼띠지스티커	PRD_TYPE.04	Y	N	0	1	1	
PRD_000062	반칼팬시스티커	PRD_TYPE.04	Y	N	0	1	1	
PRD_000063	반칼팬시투명스티커	PRD_TYPE.04	N	N	0	1	1	
PRD_000064	소량자유형스티커	PRD_TYPE.04	N	N	0	1	1	
PRD_000065	스티커팩	PRD_TYPE.04	Y	N	0	1	1	
PRD_000066	합판도무송스티커	PRD_TYPE.04	Y	N	7	1	1	
PRD_000067	타투스티커	PRD_TYPE.04	Y	N	0	1	1	
PRD_000068	중철책자	PRD_TYPE.04	Y	N	35	1	1	
PRD_000069	무선책자	PRD_TYPE.04	Y	N	32	1	1	
PRD_000070	PUR책자	PRD_TYPE.04	Y	N	0	1	1	
PRD_000071	트윈링책자	PRD_TYPE.04	Y	N	60	1	1	
