prd_cd	opt_grp_cd	opt_grp_nm	sel_typ_cd	min_sel_cnt	max_sel_cnt	mand_yn	disp_seq	use_yn	del_yn	del_dt	note	reg_dt	upd_dt
PRD_000068	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=중철제본	2026-06-05 20:24:54.98983	
PRD_000069	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=무선제본	2026-06-05 20:24:54.98983	
PRD_000070	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=PUR제본	2026-06-05 20:24:54.98983	
PRD_000071	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=트윈링제본	2026-06-05 20:24:54.98983	
PRD_000072	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=하드커버무선제본	2026-06-05 20:24:54.98983	
PRD_000077	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=하드커버무선제본	2026-06-05 20:24:54.98983	
PRD_000082	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=하드커버트윈링제본	2026-06-05 20:24:54.98983	
PRD_000094	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=떡제본	2026-06-05 20:24:54.98983	
PRD_000097	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=떡제본	2026-06-05 20:24:54.98983	
PRD_000100	GRP-BOOK-제본	책자 제본 택일	SEL_TYPE.01		1	Y		Y	N		trigger=PUR	2026-06-05 20:24:54.98983	
PRD_000110	GRP-CAL-가공	캘린더 가공 택일	SEL_TYPE.01		1	Y		Y	N		trigger=우드거치대	2026-06-05 20:24:54.98983	
PRD_000111	GRP-CAL-가공	캘린더 가공 택일	SEL_TYPE.01		1	Y		Y	N		trigger=고리형트윈링제본	2026-06-05 20:24:54.98983	
PRD_000112	GRP-CAL-가공	캘린더 가공 택일	SEL_TYPE.01		1	Y		Y	N		trigger=고리형트윈링제본	2026-06-05 20:24:54.98983	
(13 rows)
