prd_cd,apply_ymd,unit_price,note
PRD_000185,2026-06-10,2500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000196,2026-06-10,5000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000205,2026-06-10,3000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000210,2026-06-10,5000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000211,2026-06-10,18000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000212,2026-06-10,2500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000219,2026-06-10,4500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000223,2026-06-10,14000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000224,2026-06-10,12000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000225,2026-06-10,14500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000235,2026-06-10,16500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000236,2026-06-10,18000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000237,2026-06-10,20000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000248,2026-06-10,12500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000251,2026-06-10,6500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000253,2026-06-10,7200.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000256,2026-06-10,7500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000257,2026-06-10,8500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000258,2026-06-10,8500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000259,2026-06-10,9500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000260,2026-06-10,10500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000263,2026-06-10,31000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000265,2026-06-10,16500.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000266,2026-06-10,24000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000272,2026-06-10,58000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
PRD_000275,2026-06-10,25000.00,GP-1 base 단일고정가 §21 R-GP4-1 (260610 verbatim)
